,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,type_right,type_left,type
332,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
333,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
334,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
335,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
336,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
337,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
338,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
339,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
340,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
341,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
342,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
343,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
344,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
345,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
346,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
347,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
348,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
349,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
350,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
351,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
352,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
353,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
354,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
355,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
356,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
357,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
358,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
359,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
360,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
361,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
362,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
363,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
364,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
365,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
366,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
367,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
368,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
369,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
370,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
371,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
372,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
373,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
374,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
375,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
376,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
377,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
378,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
379,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
380,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
381,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
382,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
383,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
384,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
385,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
386,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
387,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
